250.0, 2550.0, 200.0, 500.0, 2550.0, 200.0
250.0, 2550.0, 200.0, 250.0, 2550.0, 700.0
500.0, 2550.0, 200.0, 500.0, 2550.0, 700.0
500.0, 2550.0, 200.0, 500.0, 3000.0, 200.0
250.0, 2550.0, 200.0, 250.0, 3000.0, 200.0
250.0, 3000.0, 200.0, 250.0, 3000.0, 700.0
250.0, 2550.0, 700.0, 250.0, 3000.0, 700.0
250.0, 2550.0, 700.0, 500.0, 2550.0, 700.0
250.0, 3000.0, 700.0, 500.0, 3000.0, 700.0
500.0, 3000.0, 700.0, 500.0, 2550.0, 700.0
500.0, 3000.0, 700.0, 500.0, 3000.0, 200.0
500.0, 3000.0, 200.0, 250.0, 3000.0, 200.0
