250.0, 1200.0, 200.0, 500.0, 1200.0, 200.0
250.0, 1200.0, 200.0, 250.0, 1200.0, 800.0
500.0, 1200.0, 200.0, 500.0, 1200.0, 800.0
500.0, 1200.0, 200.0, 500.0, 2500.0, 200.0
250.0, 1200.0, 200.0, 250.0, 2500.0, 200.0
250.0, 2500.0, 200.0, 250.0, 2500.0, 800.0
250.0, 1200.0, 800.0, 250.0, 2500.0, 800.0
250.0, 1200.0, 800.0, 500.0, 1200.0, 800.0
250.0, 2500.0, 800.0, 500.0, 2500.0, 800.0
500.0, 2500.0, 800.0, 500.0, 1200.0, 800.0
500.0, 2500.0, 800.0, 500.0, 2500.0, 200.0
500.0, 2500.0, 200.0, 250.0, 2500.0, 200.0
